score,height,holes,clears
0,42.44055513931508,60.14039126911649,-87.48735388062441
26400,35.73604798307251,72.16390837773952,-21.359378725386765
1500,26.738972466599744,98.27361868738093,30.935785220923147
4800,43.06796019377372,43.82153206416055,-28.225383573427607
3300,32.530857190991476,59.993922726984884,-78.84629551003638
38000,46.10622647467738,63.98738383253152,-82.62265491949388
12400,44.9102962914033,52.114292398841684,-84.87698955069725
40800,43.55253592100248,56.11634675461835,-88.682091555846
21100,29.37391371527428,81.37277779305666,-18.164372594319616
10700,35.800269845740075,39.386019143965854,-24.72414209250126
20800,49.407164180452526,66.58561954229572,-88.50332583854465
34900,25.301884958783404,86.22922131040012,-10.474635343809851
27200,44.05668209525694,63.534911205492314,-84.10645783571327
18600,45.13415689965496,68.76620377712695,-85.87053772654305
10100,37.92741174201245,51.881003240915284,-23.04228413496999
20800,46.5160738323088,36.048830365956974,-34.87725182039808
